made_at_utc,target_minute_utc,product,p_up,px_at_call,px_at_target,outcome,note
2026-08-12T14:26:37,2026-08-12T14:27,BTC-USD,0.5097,63707.16,63708.07,right,"{""f"": [1.0, 0.8918234191769208, 0.009172033280123825, 0.09706685379358398, 0.0, 0.0], ""sig"": 0.00066586}"
2026-08-12T14:27:37,2026-08-12T14:28,BTC-USD,0.4859,63708.07,63716.40,wrong,"{""f"": [1.0, -0.1609332954626931, 0.31540021252081074, 0.05346175462700536, 0.0, 0.0], ""sig"": 0.00066808}"
2026-08-12T14:28:37,2026-08-12T14:29,BTC-USD,0.5185,63716.40,63603.17,wrong,"{""f"": [1.0, 0.30874759944047747, -0.1379425454113559, -0.01503977613663798, 0.0, 0.0], ""sig"": 0.00066751}"
2026-08-12T14:29:37,2026-08-12T14:30,BTC-USD,0.5296,63603.17,63594.00,wrong,"{""f"": [1.0, -1.8633722031107236, -0.8703123295034654, 0.5955480454005979, 0.0, 0.0], ""sig"": 0.00068158}"
2026-08-12T14:30:38,2026-08-12T14:31,BTC-USD,0.5441,63594.00,63562.30,wrong,"{""f"": [1.0, 0.2089522825901422, -0.7655678941576224, 0.5676648766513972, 0.0, 0.0], ""sig"": 0.00069165}"
2026-08-12T14:31:38,2026-08-12T14:32,BTC-USD,0.5443,63562.30,63621.18,right,"{""f"": [1.0, -0.6977701017621321, -1.5543869898481684, 0.6998381933703243, 0.0, 0.0], ""sig"": 0.00069}"
2026-08-12T14:32:38,2026-08-12T14:33,BTC-USD,0.5478,63621.18,63607.23,wrong,"{""f"": [1.0, 0.35138039604657534, -0.8721232476185169, 0.3435937984432719, 0.0, 0.0], ""sig"": 0.00066122}"
2026-08-12T14:33:38,2026-08-12T14:34,BTC-USD,0.5439,63607.23,63514.67,wrong,"{""f"": [1.0, 0.895193459749854, -0.8117007872068817, 0.34047477101389284, 0.0, 0.0], ""sig"": 0.00066457}"
2026-08-12T14:34:39,2026-08-12T14:35,BTC-USD,0.5030,63514.67,63474.44,wrong,"{""f"": [1.0, -1.6124926843723968, -0.7380610405959163, 0.8063707782447815, 0.0, 0.0], ""sig"": 0.00066877}"
2026-08-12T14:35:39,2026-08-12T14:36,BTC-USD,0.5099,63474.44,63483.52,right,"{""f"": [1.0, -0.9628920225516012, -1.246558245616165, 0.9647579677590409, 0.0, 0.0], ""sig"": 0.00066897}"
2026-08-12T14:36:39,2026-08-12T14:37,BTC-USD,0.5400,63483.52,63518.39,right,"{""f"": [1.0, -0.42065036171136116, -1.2997829598817718, 0.8348480803074625, 0.0, 0.0], ""sig"": 0.00066534}"
2026-08-12T14:37:40,2026-08-12T14:38,BTC-USD,0.5301,63518.39,63507.60,wrong,"{""f"": [1.0, 0.4263980283932649, -0.5401036771638809, 0.5642265159166034, 0.0, 0.0], ""sig"": 0.00066469}"
2026-08-12T14:38:40,2026-08-12T14:39,BTC-USD,0.5097,63507.60,63492.79,wrong,"{""f"": [1.0, -1.3400672164192569, -0.7866015011343254, 0.5492502762778344, 0.0, 0.0], ""sig"": 0.00067639}"
2026-08-12T14:39:40,2026-08-12T14:40,BTC-USD,0.4889,63492.79,63506.81,wrong,"{""f"": [1.0, -0.36780982673287976, -0.2350470070151646, 0.5613492305983327, 0.0, 0.0], ""sig"": 0.00067562}"
2026-08-12T14:40:40,2026-08-12T14:41,BTC-USD,0.4863,63506.81,63500.40,right,"{""f"": [1.0, -0.1883313725461361, 0.05826664541798341, 0.4259950747258204, 0.0, 0.0], ""sig"": 0.00066716}"
2026-08-12T14:41:41,2026-08-12T14:42,BTC-USD,0.4827,63500.40,63482.72,right,"{""f"": [1.0, -0.15320187313539949, 0.00010945262459079527, 0.3918632803302624, 0.0, 0.0], ""sig"": 0.00064345}"
2026-08-12T14:42:41,2026-08-12T14:43,BTC-USD,0.5043,63482.72,63483.60,right,"{""f"": [1.0, -0.5460355955936771, -0.9038699607207767, 0.4134097298284155, 0.0, 0.0], ""sig"": 0.00064234}"
2026-08-12T14:43:41,2026-08-12T14:44,BTC-USD,0.4991,63483.60,63554.44,wrong,"{""f"": [1.0, 0.19448335586453427, -0.2731091560381386, 0.3195425101793179, 0.0, 0.0], ""sig"": 0.00064395}"
2026-08-12T14:44:41,2026-08-12T14:45,BTC-USD,0.4882,63554.44,63526.27,right,"{""f"": [1.0, 1.447478498199383, 0.4230542597065365, -0.1328763590817655, 0.0, 0.0], ""sig"": 0.00065971}"
2026-08-12T14:45:42,2026-08-12T14:46,BTC-USD,0.4671,63526.27,63561.39,wrong,"{""f"": [1.0, -0.3281029101682424, 0.2155927129918631, 0.00739985792293878, 0.0, 0.0], ""sig"": 0.00064043}"
2026-08-12T14:46:42,2026-08-12T14:47,BTC-USD,0.4624,63561.39,63528.95,right,"{""f"": [1.0, 1.0681755275929221, 0.6112758762327348, -0.23494497833429198, 0.0, 0.0], ""sig"": 0.00064947}"
2026-08-12T14:47:42,2026-08-12T14:48,BTC-USD,0.4501,63528.95,63516.42,right,"{""f"": [1.0, -0.9179031489123864, 0.5740780720634704, -0.046178214751054776, 0.0, 0.0], ""sig"": 0.00065386}"
2026-08-12T14:48:43,2026-08-12T14:49,BTC-USD,0.4650,63516.42,63530.02,wrong,"{""f"": [1.0, 0.1719731032079158, 0.24561726170824852, -0.004124889895947572, 0.0, 0.0], ""sig"": 0.00064912}"
2026-08-12T14:49:43,2026-08-12T14:50,BTC-USD,0.4879,63530.02,63520.92,right,"{""f"": [1.0, 0.3561260555748475, -0.10549679162395702, -0.0846486285028844, 0.0, 0.0], ""sig"": 0.00064052}"
2026-08-12T14:50:43,2026-08-12T14:51,BTC-USD,0.4706,63520.92,63472.52,right,"{""f"": [1.0, -0.6438126472070604, 0.03957525854875128, -0.011303974015387856, 0.0, 0.0], ""sig"": 0.00064224}"
2026-08-12T14:51:44,2026-08-12T14:52,BTC-USD,0.5175,63472.52,63457.18,wrong,"{""f"": [1.0, -1.0374780668597463, -1.029338401325271, 0.2789363870660251, 0.0, 0.0], ""sig"": 0.00064685}"
2026-08-12T14:52:44,2026-08-12T14:53,BTC-USD,0.4928,63457.18,63441.18,right,"{""f"": [1.0, -0.28693813314400113, -0.5693528823684586, 0.329472122162431, 0.0, 0.0], ""sig"": 0.00064525}"
2026-08-12T14:53:44,2026-08-12T14:54,BTC-USD,0.4942,63441.18,63428.26,right,"{""f"": [1.0, -0.4213949479199913, -0.814256721351176, 0.4038000908921126, 0.0, 0.0], ""sig"": 0.00064329}"
2026-08-12T14:54:44,2026-08-12T14:55,BTC-USD,0.5034,63428.26,63410.98,wrong,"{""f"": [1.0, -0.38740207693652734, -1.3055208465771626, 0.45140548343216913, 0.0, 0.0], ""sig"": 0.0006417}"
